,mrio,order,psi,base_alpha,max_alpha,tau_alpha,sectors_scenario,recovery_scenario,flood_scenario
199,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reclin2,germany21
200,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,recS2,germany21
201,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reclin6,germany21
202,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,recS6,germany21
203,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb90,germany21
204,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb90q,germany21
205,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb180q,germany21
206,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb180,germany21
207,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb365,germany21
208,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb545,germany21
209,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,recfast,germany21
210,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reclin2,germany21
211,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,recS2,germany21
212,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reclin6,germany21
213,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,recS6,germany21
214,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb90,germany21
215,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb90q,germany21
216,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb180q,germany21
217,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb180,germany21
218,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb365,germany21
219,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb545,germany21
220,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,recfast,germany21
221,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,reclin2,germany21
222,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,recS2,germany21
223,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,reclin6,germany21
224,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,recS6,germany21
225,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,reb90,germany21
226,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,reb90q,germany21
227,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,reb180q,germany21
228,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,reb180,germany21
229,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,reb365,germany21
230,exiobase3_full_2010_ixi,alt,0.85,1,1.25,90,default,reb545,germany21
231,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,recfast,germany21
232,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,reclin2,germany21
233,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,recS2,germany21
234,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,reclin6,germany21
235,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,recS6,germany21
236,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,reb90,germany21
237,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,reb90q,germany21
238,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,reb180q,germany21
239,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,reb180,germany21
240,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,reb365,germany21
241,exiobase3_full_2010_ixi,alt,0.85,1,1.25,365,default,reb545,germany21
242,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,recfast,germany21
243,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,reclin2,germany21
244,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,recS2,germany21
245,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,reclin6,germany21
246,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,recS6,germany21
247,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,reb90,germany21
248,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,reb90q,germany21
249,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,reb180q,germany21
250,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,reb180,germany21
251,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,reb365,germany21
252,exiobase3_full_2010_ixi,alt,0.95,1,1.25,90,default,reb545,germany21
253,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,recfast,germany21
254,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,reclin2,germany21
255,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,recS2,germany21
256,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,reclin6,germany21
257,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,recS6,germany21
258,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,reb90,germany21
259,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,reb90q,germany21
260,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,reb180q,germany21
261,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,reb180,germany21
262,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,reb365,germany21
263,exiobase3_full_2010_ixi,alt,0.95,1,1.25,365,default,reb545,germany21
264,euregio_full_2000,alt,0.8,1,1.25,90,default,recfast,germany21
265,euregio_full_2000,alt,0.8,1,1.25,90,default,reclin2,germany21
266,euregio_full_2000,alt,0.8,1,1.25,90,default,recS2,germany21
267,euregio_full_2000,alt,0.8,1,1.25,90,default,reclin6,germany21
268,euregio_full_2000,alt,0.8,1,1.25,90,default,recS6,germany21
269,euregio_full_2000,alt,0.8,1,1.25,90,default,reb90,germany21
270,euregio_full_2000,alt,0.8,1,1.25,90,default,reb90q,germany21
271,euregio_full_2000,alt,0.8,1,1.25,90,default,reb180q,germany21
272,euregio_full_2000,alt,0.8,1,1.25,90,default,reb180,germany21
273,euregio_full_2000,alt,0.8,1,1.25,90,default,reb365,germany21
274,euregio_full_2000,alt,0.8,1,1.25,90,default,reb545,germany21
275,euregio_full_2000,alt,0.8,1,1.25,365,default,recfast,germany21
276,euregio_full_2000,alt,0.8,1,1.25,365,default,reclin2,germany21
277,euregio_full_2000,alt,0.8,1,1.25,365,default,recS2,germany21
278,euregio_full_2000,alt,0.8,1,1.25,365,default,reclin6,germany21
279,euregio_full_2000,alt,0.8,1,1.25,365,default,recS6,germany21
280,euregio_full_2000,alt,0.8,1,1.25,365,default,reb90,germany21
281,euregio_full_2000,alt,0.8,1,1.25,365,default,reb90q,germany21
282,euregio_full_2000,alt,0.8,1,1.25,365,default,reb180q,germany21
283,euregio_full_2000,alt,0.8,1,1.25,365,default,reb180,germany21
284,euregio_full_2000,alt,0.8,1,1.25,365,default,reb365,germany21
285,euregio_full_2000,alt,0.8,1,1.25,365,default,reb545,germany21
286,euregio_full_2000,alt,0.85,1,1.25,90,default,recfast,germany21
287,euregio_full_2000,alt,0.85,1,1.25,90,default,reclin2,germany21
288,euregio_full_2000,alt,0.85,1,1.25,90,default,recS2,germany21
289,euregio_full_2000,alt,0.85,1,1.25,90,default,reclin6,germany21
290,euregio_full_2000,alt,0.85,1,1.25,90,default,recS6,germany21
291,euregio_full_2000,alt,0.85,1,1.25,90,default,reb90,germany21
292,euregio_full_2000,alt,0.85,1,1.25,90,default,reb90q,germany21
293,euregio_full_2000,alt,0.85,1,1.25,90,default,reb180q,germany21
294,euregio_full_2000,alt,0.85,1,1.25,90,default,reb180,germany21
295,euregio_full_2000,alt,0.85,1,1.25,90,default,reb365,germany21
296,euregio_full_2000,alt,0.85,1,1.25,90,default,reb545,germany21
297,euregio_full_2000,alt,0.85,1,1.25,365,default,recfast,germany21
298,euregio_full_2000,alt,0.85,1,1.25,365,default,reclin2,germany21
299,euregio_full_2000,alt,0.85,1,1.25,365,default,recS2,germany21
300,euregio_full_2000,alt,0.85,1,1.25,365,default,reclin6,germany21
301,euregio_full_2000,alt,0.85,1,1.25,365,default,recS6,germany21
302,euregio_full_2000,alt,0.85,1,1.25,365,default,reb90,germany21
303,euregio_full_2000,alt,0.85,1,1.25,365,default,reb90q,germany21
304,euregio_full_2000,alt,0.85,1,1.25,365,default,reb180q,germany21
305,euregio_full_2000,alt,0.85,1,1.25,365,default,reb180,germany21
306,euregio_full_2000,alt,0.85,1,1.25,365,default,reb365,germany21
307,euregio_full_2000,alt,0.85,1,1.25,365,default,reb545,germany21
308,euregio_full_2000,alt,0.95,1,1.25,90,default,recfast,germany21
309,euregio_full_2000,alt,0.95,1,1.25,90,default,reclin2,germany21
310,euregio_full_2000,alt,0.95,1,1.25,90,default,recS2,germany21
311,euregio_full_2000,alt,0.95,1,1.25,90,default,reclin6,germany21
312,euregio_full_2000,alt,0.95,1,1.25,90,default,recS6,germany21
313,euregio_full_2000,alt,0.95,1,1.25,90,default,reb90,germany21
314,euregio_full_2000,alt,0.95,1,1.25,90,default,reb90q,germany21
315,euregio_full_2000,alt,0.95,1,1.25,90,default,reb180q,germany21
316,euregio_full_2000,alt,0.95,1,1.25,90,default,reb180,germany21
317,euregio_full_2000,alt,0.95,1,1.25,90,default,reb365,germany21
318,euregio_full_2000,alt,0.95,1,1.25,90,default,reb545,germany21
319,euregio_full_2000,alt,0.95,1,1.25,365,default,recfast,germany21
320,euregio_full_2000,alt,0.95,1,1.25,365,default,reclin2,germany21
321,euregio_full_2000,alt,0.95,1,1.25,365,default,recS2,germany21
322,euregio_full_2000,alt,0.95,1,1.25,365,default,reclin6,germany21
323,euregio_full_2000,alt,0.95,1,1.25,365,default,recS6,germany21
324,euregio_full_2000,alt,0.95,1,1.25,365,default,reb90,germany21
325,euregio_full_2000,alt,0.95,1,1.25,365,default,reb90q,germany21
326,euregio_full_2000,alt,0.95,1,1.25,365,default,reb180q,germany21
327,euregio_full_2000,alt,0.95,1,1.25,365,default,reb180,germany21
328,euregio_full_2000,alt,0.95,1,1.25,365,default,reb365,germany21
329,euregio_full_2000,alt,0.95,1,1.25,365,default,reb545,germany21
330,euregio_full_2010,alt,0.8,1,1.25,90,default,recfast,germany21
331,euregio_full_2010,alt,0.8,1,1.25,90,default,reclin2,germany21
332,euregio_full_2010,alt,0.8,1,1.25,90,default,recS2,germany21
333,euregio_full_2010,alt,0.8,1,1.25,90,default,reclin6,germany21
334,euregio_full_2010,alt,0.8,1,1.25,90,default,recS6,germany21
335,euregio_full_2010,alt,0.8,1,1.25,90,default,reb90,germany21
336,euregio_full_2010,alt,0.8,1,1.25,90,default,reb90q,germany21
337,euregio_full_2010,alt,0.8,1,1.25,90,default,reb180q,germany21
338,euregio_full_2010,alt,0.8,1,1.25,90,default,reb180,germany21
339,euregio_full_2010,alt,0.8,1,1.25,90,default,reb365,germany21
340,euregio_full_2010,alt,0.8,1,1.25,90,default,reb545,germany21
341,euregio_full_2010,alt,0.8,1,1.25,365,default,recfast,germany21
342,euregio_full_2010,alt,0.8,1,1.25,365,default,reclin2,germany21
343,euregio_full_2010,alt,0.8,1,1.25,365,default,recS2,germany21
344,euregio_full_2010,alt,0.8,1,1.25,365,default,reclin6,germany21
345,euregio_full_2010,alt,0.8,1,1.25,365,default,recS6,germany21
346,euregio_full_2010,alt,0.8,1,1.25,365,default,reb90,germany21
347,euregio_full_2010,alt,0.8,1,1.25,365,default,reb90q,germany21
348,euregio_full_2010,alt,0.8,1,1.25,365,default,reb180q,germany21
349,euregio_full_2010,alt,0.8,1,1.25,365,default,reb180,germany21
350,euregio_full_2010,alt,0.8,1,1.25,365,default,reb365,germany21
351,euregio_full_2010,alt,0.8,1,1.25,365,default,reb545,germany21
352,euregio_full_2010,alt,0.85,1,1.25,90,default,recfast,germany21
353,euregio_full_2010,alt,0.85,1,1.25,90,default,reclin2,germany21
354,euregio_full_2010,alt,0.85,1,1.25,90,default,recS2,germany21
355,euregio_full_2010,alt,0.85,1,1.25,90,default,reclin6,germany21
356,euregio_full_2010,alt,0.85,1,1.25,90,default,recS6,germany21
357,euregio_full_2010,alt,0.85,1,1.25,90,default,reb90,germany21
358,euregio_full_2010,alt,0.85,1,1.25,90,default,reb90q,germany21
359,euregio_full_2010,alt,0.85,1,1.25,90,default,reb180q,germany21
360,euregio_full_2010,alt,0.85,1,1.25,90,default,reb180,germany21
361,euregio_full_2010,alt,0.85,1,1.25,90,default,reb365,germany21
362,euregio_full_2010,alt,0.85,1,1.25,90,default,reb545,germany21
363,euregio_full_2010,alt,0.85,1,1.25,365,default,recfast,germany21
364,euregio_full_2010,alt,0.85,1,1.25,365,default,reclin2,germany21
365,euregio_full_2010,alt,0.85,1,1.25,365,default,recS2,germany21
366,euregio_full_2010,alt,0.85,1,1.25,365,default,reclin6,germany21
367,euregio_full_2010,alt,0.85,1,1.25,365,default,recS6,germany21
368,euregio_full_2010,alt,0.85,1,1.25,365,default,reb90,germany21
369,euregio_full_2010,alt,0.85,1,1.25,365,default,reb90q,germany21
370,euregio_full_2010,alt,0.85,1,1.25,365,default,reb180q,germany21
371,euregio_full_2010,alt,0.85,1,1.25,365,default,reb180,germany21
372,euregio_full_2010,alt,0.85,1,1.25,365,default,reb365,germany21
373,euregio_full_2010,alt,0.85,1,1.25,365,default,reb545,germany21
374,euregio_full_2010,alt,0.95,1,1.25,90,default,recfast,germany21
375,euregio_full_2010,alt,0.95,1,1.25,90,default,reclin2,germany21
376,euregio_full_2010,alt,0.95,1,1.25,90,default,recS2,germany21
377,euregio_full_2010,alt,0.95,1,1.25,90,default,reclin6,germany21
378,euregio_full_2010,alt,0.95,1,1.25,90,default,recS6,germany21
379,euregio_full_2010,alt,0.95,1,1.25,90,default,reb90,germany21
380,euregio_full_2010,alt,0.95,1,1.25,90,default,reb90q,germany21
381,euregio_full_2010,alt,0.95,1,1.25,90,default,reb180q,germany21
382,euregio_full_2010,alt,0.95,1,1.25,90,default,reb180,germany21
383,euregio_full_2010,alt,0.95,1,1.25,90,default,reb365,germany21
384,euregio_full_2010,alt,0.95,1,1.25,90,default,reb545,germany21
385,euregio_full_2010,alt,0.95,1,1.25,365,default,recfast,germany21
386,euregio_full_2010,alt,0.95,1,1.25,365,default,reclin2,germany21
387,euregio_full_2010,alt,0.95,1,1.25,365,default,recS2,germany21
388,euregio_full_2010,alt,0.95,1,1.25,365,default,reclin6,germany21
389,euregio_full_2010,alt,0.95,1,1.25,365,default,recS6,germany21
390,euregio_full_2010,alt,0.95,1,1.25,365,default,reb90,germany21
391,euregio_full_2010,alt,0.95,1,1.25,365,default,reb90q,germany21
392,euregio_full_2010,alt,0.95,1,1.25,365,default,reb180q,germany21
393,euregio_full_2010,alt,0.95,1,1.25,365,default,reb180,germany21
394,euregio_full_2010,alt,0.95,1,1.25,365,default,reb365,germany21
395,euregio_full_2010,alt,0.95,1,1.25,365,default,reb545,germany21
