reb15q,0.999,30,euregio_full_2000
reb15q,0.999,30,euregio_full_2010
reb15q,0.999,30,exiobase3_full_2000_ixi
reb15q,0.999,30,exiobase3_full_2010_ixi
reb15q,0.999,365,euregio_full_2000
reb15q,0.999,365,euregio_full_2010
reb15q,0.999,365,exiobase3_full_2000_ixi
reb15q,0.999,365,exiobase3_full_2010_ixi
reb15,0.5,30,eora26_full_2000
reb15,0.5,30,eora26_full_2010
reb15,0.5,30,exiobase3_full_2000_ixi
reb15,0.5,30,exiobase3_full_2010_ixi
reb15,0.5,365,eora26_full_2000
reb15,0.5,365,euregio_full_2000
reb15,0.5,365,euregio_full_2010
reb15,0.8,30,eora26_full_2010
reb15,0.8,30,euregio_full_2000
reb15,0.8,30,euregio_full_2010
reb15,0.8,30,exiobase3_full_2000_ixi
reb15,0.8,30,exiobase3_full_2010_ixi
reb15,0.8,365,eora26_full_2010
reb15,0.8,365,euregio_full_2000
reb15,0.8,365,euregio_full_2010
reb15,0.999,30,exiobase3_full_2000_ixi
reb15,0.999,30,exiobase3_full_2010_ixi
reb15,0.999,365,exiobase3_full_2000_ixi
reb15,0.999,365,exiobase3_full_2010_ixi
reb365,0.5,30,eora26_full_2000
reb365,0.5,30,eora26_full_2010
reb365,0.5,30,exiobase3_full_2000_ixi
reb365,0.5,30,exiobase3_full_2010_ixi
reb365,0.8,30,eora26_full_2000
reb365,0.8,30,eora26_full_2010
reb365,0.8,30,exiobase3_full_2000_ixi
reb365,0.8,30,exiobase3_full_2010_ixi
reb365,0.999,30,euregio_full_2000
reb365,0.999,30,euregio_full_2010
reb365,0.999,30,exiobase3_full_2000_ixi
reb365,0.999,30,exiobase3_full_2010_ixi
reb365,0.999,365,exiobase3_full_2000_ixi
reb365,0.999,365,exiobase3_full_2010_ixi
reb545,0.5,30,eora26_full_2000
reb545,0.5,30,eora26_full_2010
reb545,0.5,30,exiobase3_full_2000_ixi
reb545,0.8,30,eora26_full_2000
reb545,0.8,30,eora26_full_2010
reb545,0.8,30,exiobase3_full_2000_ixi
reb545,0.999,30,eora26_full_2010
reb545,0.999,30,euregio_full_2000
reb545,0.999,30,euregio_full_2010
reb545,0.999,30,exiobase3_full_2000_ixi
reb545,0.999,30,exiobase3_full_2010_ixi
reb545,0.999,365,exiobase3_full_2000_ixi
reb545,0.999,365,exiobase3_full_2010_ixi
reb90q,0.999,30,eora26_full_2000
reb90q,0.999,30,eora26_full_2010
reb90q,0.999,30,euregio_full_2000
reb90q,0.999,30,euregio_full_2010
reb90q,0.999,30,exiobase3_full_2000_ixi
reb90q,0.999,30,exiobase3_full_2010_ixi
reb90q,0.999,365,eora26_full_2010
reb90q,0.999,365,euregio_full_2000
reb90q,0.999,365,euregio_full_2010
reb90q,0.999,365,exiobase3_full_2000_ixi
reb90q,0.999,365,exiobase3_full_2010_ixi
reb90,0.5,30,eora26_full_2000
reb90,0.5,30,eora26_full_2010
reb90,0.5,30,exiobase3_full_2000_ixi
reb90,0.5,30,exiobase3_full_2010_ixi
reb90,0.8,30,eora26_full_2000
reb90,0.8,30,eora26_full_2010
reb90,0.8,30,exiobase3_full_2000_ixi
reb90,0.8,30,exiobase3_full_2010_ixi
reb90,0.8,365,eora26_full_2000
reb90,0.8,365,euregio_full_2000
reb90,0.8,365,euregio_full_2010
reb90,0.999,30,exiobase3_full_2000_ixi
reb90,0.999,30,exiobase3_full_2010_ixi
reb90,0.999,365,exiobase3_full_2000_ixi
reb90,0.999,365,exiobase3_full_2010_ixi
reclin6,0.999,365,eora26_full_2000
reclin6,0.999,365,eora26_full_2010
reclin6,0.999,365,exiobase3_full_2000_ixi
reclin6,0.999,365,exiobase3_full_2010_ixi
reb15,0.8,30,eora26_full_2000
reb15,0.8,365,eora26_full_2000
reb15,0.999,30,eora26_full_2000
reb90,0.999,30,eora26_full_2000
reb15q,0.999,30,eora26_full_2000
reb365,0.999,30,eora26_full_2000
reb545,0.999,30,eora26_full_2000
reb15,0.999,365,eora26_full_2000
reb90,0.999,365,eora26_full_2000
reb15q,0.999,365,eora26_full_2000
reb90q,0.999,365,eora26_full_2000
reb365,0.999,365,eora26_full_2000
reb545,0.999,365,eora26_full_2000
reb15,0.999,30,eora26_full_2010
reb90,0.999,30,eora26_full_2010
reb15q,0.999,30,eora26_full_2010
reb365,0.999,30,eora26_full_2010
reb15,0.999,365,eora26_full_2010
reb90,0.999,365,eora26_full_2010
reb15q,0.999,365,eora26_full_2010
reb365,0.999,365,eora26_full_2010
reb545,0.999,365,eora26_full_2010
reb15,0.999,30,euregio_full_2000
reb90,0.999,30,euregio_full_2000
reb15,0.999,365,euregio_full_2000
reb90,0.999,365,euregio_full_2000
reb365,0.999,365,euregio_full_2000
reb545,0.999,365,euregio_full_2000
reb15,0.999,30,euregio_full_2010
reb90,0.999,30,euregio_full_2010
reb15,0.999,365,euregio_full_2010
reb90,0.999,365,euregio_full_2010
reb365,0.999,365,euregio_full_2010
reb545,0.999,365,euregio_full_2010
reb15q,0.95,30,eora26_full_2010
reb15q,0.95,365,eora26_full_2000
reb15q,0.95,365,eora26_full_2010
reb15q,0.95,365,euregio_full_2000
reb15q,0.95,365,euregio_full_2010
reb15q,0.95,90,eora26_full_2000
reb15q,0.999,90,eora26_full_2000
reb15q,0.999,90,eora26_full_2010
reb15q,0.999,90,euregio_full_2000
reb15q,0.999,90,euregio_full_2010
reb15q,0.999,90,exiobase3_full_2000_ixi
reb15q,0.999,90,exiobase3_full_2010_ixi
reb15,0.85,30,eora26_full_2000
reb15,0.85,30,eora26_full_2010
reb15,0.85,30,euregio_full_2000
reb15,0.85,30,euregio_full_2010
reb15,0.85,30,exiobase3_full_2000_ixi
reb15,0.85,30,exiobase3_full_2010_ixi
reb15,0.85,365,eora26_full_2000
reb15,0.85,365,eora26_full_2010
reb15,0.85,365,euregio_full_2000
reb15,0.85,365,euregio_full_2010
reb15,0.85,90,eora26_full_2000
reb15,0.85,90,eora26_full_2010
reb15,0.85,90,euregio_full_2000
reb15,0.85,90,euregio_full_2010
reb15,0.8,90,eora26_full_2000
reb15,0.8,90,eora26_full_2010
reb15,0.8,90,euregio_full_2000
reb15,0.8,90,euregio_full_2010
reb15,0.95,30,eora26_full_2000
reb15,0.95,30,eora26_full_2010
reb15,0.95,30,euregio_full_2000
reb15,0.95,30,euregio_full_2010
reb15,0.95,30,exiobase3_full_2000_ixi
reb15,0.95,365,eora26_full_2000
reb15,0.95,365,eora26_full_2010
reb15,0.95,365,euregio_full_2000
reb15,0.95,365,euregio_full_2010
reb15,0.95,365,exiobase3_full_2000_ixi
reb15,0.95,365,exiobase3_full_2010_ixi
reb15,0.95,90,eora26_full_2000
reb15,0.95,90,eora26_full_2010
reb15,0.95,90,euregio_full_2000
reb15,0.95,90,euregio_full_2010
reb15,0.95,90,exiobase3_full_2000_ixi
reb15,0.95,90,exiobase3_full_2010_ixi
reb15,0.999,90,eora26_full_2000
reb15,0.999,90,eora26_full_2010
reb15,0.999,90,euregio_full_2000
reb15,0.999,90,euregio_full_2010
reb15,0.999,90,exiobase3_full_2000_ixi
reb15,0.999,90,exiobase3_full_2010_ixi
reb365,0.85,30,eora26_full_2000
reb365,0.85,30,eora26_full_2010
reb365,0.85,30,exiobase3_full_2000_ixi
reb365,0.85,30,exiobase3_full_2010_ixi
reb365,0.95,30,eora26_full_2010
reb365,0.95,30,exiobase3_full_2000_ixi
reb365,0.95,30,exiobase3_full_2010_ixi
reb365,0.95,365,eora26_full_2000
reb365,0.95,365,eora26_full_2010
reb365,0.95,365,euregio_full_2000
reb365,0.95,365,euregio_full_2010
reb365,0.95,90,eora26_full_2000
reb365,0.95,90,euregio_full_2000
reb365,0.95,90,euregio_full_2010
reb365,0.999,90,eora26_full_2000
reb365,0.999,90,eora26_full_2010
reb365,0.999,90,euregio_full_2000
reb365,0.999,90,euregio_full_2010
reb365,0.999,90,exiobase3_full_2000_ixi
reb365,0.999,90,exiobase3_full_2010_ixi
reb545,0.85,30,eora26_full_2000
reb545,0.85,30,eora26_full_2010
reb545,0.85,30,exiobase3_full_2000_ixi
reb545,0.95,30,eora26_full_2000
reb545,0.95,30,eora26_full_2010
reb545,0.95,30,exiobase3_full_2000_ixi
reb545,0.95,365,eora26_full_2000
reb545,0.95,365,euregio_full_2000
reb545,0.95,365,euregio_full_2010
reb545,0.95,90,eora26_full_2000
reb545,0.999,90,eora26_full_2000
reb545,0.999,90,eora26_full_2010
reb545,0.999,90,euregio_full_2000
reb545,0.999,90,euregio_full_2010
reb545,0.999,90,exiobase3_full_2000_ixi
reb545,0.999,90,exiobase3_full_2010_ixi
reb90q,0.95,365,eora26_full_2000
reb90q,0.999,90,eora26_full_2000
reb90q,0.999,90,eora26_full_2010
reb90q,0.999,90,euregio_full_2000
reb90q,0.999,90,euregio_full_2010
reb90q,0.999,90,exiobase3_full_2000_ixi
reb90q,0.999,90,exiobase3_full_2010_ixi
reb90,0.85,30,eora26_full_2010
reb90,0.85,30,exiobase3_full_2000_ixi
reb90,0.85,30,exiobase3_full_2010_ixi
reb90,0.85,365,eora26_full_2000
reb90,0.85,365,euregio_full_2000
reb90,0.85,365,euregio_full_2010
reb90,0.85,90,eora26_full_2000
reb90,0.85,90,euregio_full_2000
reb90,0.85,90,euregio_full_2010
reb90,0.8,90,eora26_full_2000
reb90,0.8,90,euregio_full_2010
reb90,0.95,30,eora26_full_2000
reb90,0.95,30,eora26_full_2010
reb90,0.95,30,euregio_full_2000
reb90,0.95,30,euregio_full_2010
reb90,0.95,30,exiobase3_full_2010_ixi
reb90,0.95,365,eora26_full_2000
reb90,0.95,365,eora26_full_2010
reb90,0.95,365,euregio_full_2000
reb90,0.95,365,euregio_full_2010
reb90,0.95,365,exiobase3_full_2000_ixi
reb90,0.95,365,exiobase3_full_2010_ixi
reb90,0.95,90,eora26_full_2000
reb90,0.95,90,eora26_full_2010
reb90,0.95,90,euregio_full_2000
reb90,0.95,90,euregio_full_2010
reb90,0.95,90,exiobase3_full_2000_ixi
reb90,0.999,90,eora26_full_2000
reb90,0.999,90,eora26_full_2010
reb90,0.999,90,euregio_full_2000
reb90,0.999,90,euregio_full_2010
reb90,0.999,90,exiobase3_full_2000_ixi
reb90,0.999,90,exiobase3_full_2010_ixi
